host_response_rate,host_acceptance_rate,latitude,longitude,bedrooms,beds,minimum_nights,accommodates,price,review_scores_rating,number_of_reviews
NA,93,49.27289,-123.07405,1,1,3,2,55,96,86
100,100,49.25354,-123.09635,2,3,30,4,75,98,59
100,74,49.28117,-123.05231,2,2,3,4,82,94,139
NA,NA,49.26676,-123.15638,1,1,30,1,40,100,3
NA,NA,49.232,-123.05679,1,1,2,2,70,97,38
80,92,49.27907,-123.10671,1,1,16,2,80,96,23
100,100,49.27767,-123.12908,1,1,30,2,80,96,90
100,60,49.23924,-123.08398,1,1,30,2,61,97,27
100,100,49.28627,-123.04713,1,1,7,3,75,98,111
NA,NA,49.22144,-123.15405,1,1,3,2,80,88,19
NA,82,49.27917,-123.10087,1,1,2,3,81,97,68
91,100,49.27105,-123.18454,1,1,30,1,51,97,47
NA,NA,49.27322,-123.15093,1,1,1,3,75,97,52
NA,NA,49.26705,-123.15698,1,1,14,2,80,90,3
92,75,49.23946,-123.08818,2,1,30,1,50,86,7
100,31,49.26656,-123.04979,1,1,30,3,63,97,36
100,95,49.26,-123.18298,1,2,1,2,79,97,119
100,100,49.24831,-123.18431,2,2,30,4,75,92,5
NA,NA,49.2569,-123.19638,1,1,30,1,43,40,2
100,67,49.26965,-123.15376,1,1,1,2,34,91,97
100,100,49.2285,-123.09674,1,1,3,2,65,95,49
NA,NA,49.23178,-123.02587,1,1,7,2,55,86,10
100,100,49.26144,-123.1851,1,1,3,2,78,87,19
100,100,49.27449,-123.03915,1,1,5,2,75,98,61
71,93,49.29019,-123.12516,1,2,30,3,84,90,21
71,93,49.2884,-123.12605,1,2,30,3,78,85,22
NA,NA,49.26349,-123.15764,1,1,30,4,36,60,3
100,100,49.28483,-123.04634,1,0,5,1,38,100,5
71,93,49.29373,-123.13452,1,2,30,4,76,70,2
100,89,49.23527,-123.09903,1,1,60,1,31,100,5
100,100,49.22652,-123.09526,1,1,3,2,75,95,57
100,88,49.26312,-123.048,1,1,1,1,46,98,171
67,100,49.24156,-123.04932,1,1,2,2,60,96,93
67,100,49.24196,-123.04993,1,1,2,2,55,97,84
92,75,49.24141,-123.09008,1,1,30,1,24,93,3
NA,NA,49.23128,-123.14061,1,1,3,2,30,80,1
100,96,49.2833,-123.12769,1,1,2,2,65,87,200
100,91,49.22267,-123.03604,1,1,3,2,65,92,5
100,NA,49.27636,-123.11982,1,1,30,2,55,93,26
NA,NA,49.21424,-123.11441,1,1,3,2,49,93,40
NA,NA,49.2127,-123.11602,1,1,3,2,55,98,51
NA,NA,49.22845,-123.11504,1,2,360,2,70,96,186
100,100,49.27957,-123.13028,1,2,30,3,70,96,47
84,55,49.24551,-123.08933,2,2,2,4,69,95,113
100,95,49.27929,-123.10709,1,1,1,2,66,98,275
100,100,49.24188,-123.05401,1,1,2,2,71,95,159
100,100,49.26985,-123.06766,1,1,1,2,75,98,76
100,100,49.26038,-123.07115,1,1,4,2,80,98,43
NA,NA,49.22671,-123.11416,1,1,360,2,60,96,132
0,14,49.27215,-123.17969,1,2,1,2,60,97,167
67,100,49.23965,-123.04831,1,1,2,2,50,98,47
NA,100,49.23937,-123.04057,1,1,28,3,80,99,111
93,87,49.27969,-123.12319,1,1,30,4,84,80,1
100,98,49.28254,-123.06454,1,1,2,4,70,94,209
NA,NA,49.29212,-123.13438,1,2,30,3,79,88,14
100,91,49.28157,-123.02788,1,1,3,2,45,96,64
100,100,49.25446,-123.08276,1,2,2,4,51,91,161
NA,NA,49.28724,-123.05085,1,1,2,2,40,99,67
100,100,49.27711,-123.09218,2,3,14,4,75,95,238
83,97,49.26978,-123.09867,1,1,30,4,69,100,17
NA,0,49.27743,-123.03525,1,2,5,2,45,85,8
100,98,49.27411,-123.04884,1,2,3,4,63,96,221
100,NA,49.26624,-123.15056,1,1,150,2,65,100,4
100,78,49.21103,-123.11774,1,1,1,3,64,82,9
NA,0,49.28133,-123.0634,1,1,31,2,69,98,42
